id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID
2309,Arpasu,Hydro,Reservoir,Store,Romania,14.0,,0.0,7.35,20.0,0.0,,,,,45.79375,24.595417,[nan],"{'JRC': ['H1598'], 'CARMA': ['CARMA2106']}"
2310,Hydroéléctrique d'arrens,Hydro,Run-Of-River,Store,France,24.5,,0.0,0.0,0.0,0.0,,,,,42.9474,-0.2179,[nan],"{'JRC': ['H3418'], 'CARMA': ['CARMA2115']}"
2311,Arvan,Hydro,Run-Of-River,Store,France,29.0,,0.0,0.0,0.0,0.0,,,,,45.239059000000005,6.3168593,[nan],"{'JRC': ['H3407'], 'CARMA': ['CARMA2188']}"
2312,Äsch,Hydro,Run-Of-River,Store,Switzerland,0.52,,0.0,0.0,0.0,0.0,,,,,46.8652358009,8.81028683203,[nan],"{'JRC': ['H2406'], 'CARMA': ['CARMA61007']}"
2313,Åsedøla,Hydro,Reservoir,Store,Norway,1.49,,0.0,0.0,0.0,0.0,,,,,61.52044300000001,5.7955,[nan],"{'JRC': ['N526'], 'CARMA': ['CARMA57745']}"
2314,Askerudfoss,Hydro,Reservoir,Store,Norway,26.4,,0.0,0.0,41.2,0.0,,,,,60.202775,10.3417015,"[nan, nan]","{'JRC': ['N304', 'N325'], 'CARMA': ['CARMA2329']}"
2315,Augst,Hydro,Run-Of-River,Store,Switzerland,35.0,,0.0,0.0,0.0,0.0,,,,,47.5367624122999,7.709688480780001,[nan],"{'JRC': ['H1068'], 'CARMA': ['CARMA2531']}"
2316,Åsmulfoss,Hydro,Reservoir,Store,Norway,12.0,,0.0,0.0,10.0,0.0,,,,,64.67747299999999,12.677895,[nan],"{'JRC': ['N235'], 'CARMA': ['CARMA2334']}"
2317,Untere,Hydro,Run-Of-River,Store,Germany,0.055,,0.0,0.0,0.0,0.0,,,,,49.299724,9.824035,[nan],"{'JRC': ['H3144'], 'CARMA': ['CARMA2495']}"
2318,Aue dotierzentrale,Hydro,Run-Of-River,Store,Switzerland,5.7,,0.0,0.0,0.0,0.0,,,,,47.46945284955,8.30963508241,[nan],"{'JRC': ['H1954'], 'CARMA': ['CARMA2516']}"
2319,Auerhammer,Hydro,Run-Of-River,Store,Germany,1.05,,0.0,0.0,0.0,0.0,,,,,50.57811733333333,12.689192,"[nan, nan, nan]","{'JRC': ['H2823', 'H3127', 'H2573'], 'CARMA': ['CARMA2517']}"
2320,Fkw auerbrücke,Hydro,Run-Of-River,Store,Germany,0.5,,0.0,0.0,0.0,0.0,,,,,48.888729999999995,8.703077,[nan],"{'JRC': ['H2638'], 'CARMA': ['CARMA2519']}"
2321,Aufkirchen,Hydro,Run-Of-River,Store,Germany,27.0,,0.0,0.0,0.0,0.0,,,,,48.3066864,11.858847,[nan],"{'JRC': ['H1199'], 'CARMA': ['CARMA2524']}"
2322,Vrutok mavrovo vrutok macedonia,Hydro,Reservoir,Store,"Macedonia, Republic of",162.0,,0.0,277.0,62.0,0.0,,,,,41.771,20.84,[nan],"{'JRC': ['H302'], 'ENTSOE': ['33W-HEC-VRUTOK-B']}"
2323,Vianden vianden vianden luxembourg,Hydro,Pumped Storage,Store,Germany,1291.0,,3.46862896979086,6.864,280.0,4478.0,,,,,49.9515671281818,6.18003128690909,[nan],"{'JRC': ['H5'], 'ENTSOE': ['11WD72VIA2H-KW-0']}"
2324,Tikves tikves macedonia,Hydro,Reservoir,Store,"Macedonia, Republic of",116.0,,0.0,309.6,113.5,0.0,,,,,41.404999,21.936001,[nan],"{'JRC': ['H439'], 'ENTSOE': ['33W-HEC-TIKVES-8']}"
2325,Lünerseewerk luenersee luenersee,Hydro,Reservoir,Store,Austria,280.0,,0.0,78.3,974.0,0.0,1958.0,2003.0,,,47.074251000000004,9.874371,[nan],"{'JRC': ['H188'], 'GEO': ['GEO45213']}"
2326,Krpeľany kreplany kreplany,Hydro,Run-Of-River,Store,Slovakia,24.75,,0.0,0.0,0.0,0.0,1957.0,1957.0,,,49.127959999999995,19.0955,[nan],"{'JRC': ['H1274'], 'GEO': ['GEO42648']}"
2327,Krupa krupa,Hydro,Reservoir,Store,Bosnia and Herzegovina,48.5,,0.0,5.75,29.0,0.0,2010.0,2010.0,,,44.5624,17.135,[nan],"{'JRC': ['H862'], 'GEO': ['GEO44818']}"
2328,Ladce,Hydro,Run-Of-River,Store,Slovakia,18.9,,0.0,0.0,0.0,0.0,1936.0,1999.0,,,49.04976,18.29794,[nan],"{'JRC': ['H1434'], 'GEO': ['GEO42660']}"
2329,Lesce lesce,Hydro,Run-Of-River,Store,Croatia,42.3,,0.0,0.0,0.0,0.0,2010.0,2010.0,,,45.3485,15.3452,[nan],"{'JRC': ['H933'], 'GEO': ['GEO44846']}"
2330,Lipovec lipovec lipovec,Hydro,Run-Of-River,Store,Slovakia,38.4,,0.0,0.0,0.0,0.0,1960.0,1960.0,,,49.13197,18.9114,[nan],"{'JRC': ['H1002'], 'GEO': ['GEO42645']}"
2331,Louron louron,Hydro,Reservoir,Store,France,49.3,,0.0,25.4,24.0,0.0,1940.0,,,,42.79,0.41,[nan],"{'JRC': ['H856'], 'GEO': ['GEO39775']}"
2332,Madunice madunice madunice,Hydro,Run-Of-River,Store,Slovakia,43.2,,0.0,0.0,0.0,0.0,1960.0,1960.0,,,48.48843,17.794079999999898,[nan],"{'JRC': ['H924'], 'GEO': ['GEO42650']}"
2333,Kostolná kostolna kostolna,Hydro,Run-Of-River,Store,Slovakia,25.5,,0.0,0.0,0.0,0.0,1953.0,1953.0,,,48.86096,17.96874,[nan],"{'JRC': ['H1239'], 'GEO': ['GEO42654']}"
2334,Markovci,Hydro,Run-Of-River,Store,Slovenia,0.775,,0.0,0.0,0.0,0.0,2012.0,2012.0,,,46.38817,15.9264799999999,[nan],"{'JRC': ['H2367'], 'GEO': ['GEO44867']}"
2335,Melje melje poqwer melje poqwer,Hydro,Run-Of-River,Store,Slovenia,2.26,,0.0,0.0,0.0,0.0,1988.0,1988.0,,,46.56087,15.67309,[nan],"{'JRC': ['H2277'], 'GEO': ['GEO44866']}"
2336,Mesochora greece mesochora greece,Hydro,Reservoir,Store,Greece,162.0,,0.0,0.0,150.0,0.0,2010.0,2010.0,,,39.4644,21.3042,[nan],"{'JRC': ['H300'], 'GEO': ['GEO42791']}"
2337,Mikšová miskova miskova,Hydro,Run-Of-River,Store,Slovakia,93.6,,0.0,0.0,0.0,0.0,1963.0,1963.0,,,49.19271,18.50829,[nan],"{'JRC': ['H545'], 'GEO': ['GEO42643']}"
2338,Monceaux virolle monceaux virolle,Hydro,Reservoir,Store,France,19.0,,0.0,20.5,32.0,0.0,1946.0,,,,45.576,1.84,[nan],"{'JRC': ['H1420'], 'GEO': ['GEO39753']}"
2339,Monsin monsin belgium monsin belgium,Hydro,Run-Of-River,Store,Belgium,13.318650936949101,,0.0,0.0,0.0,0.0,1954.0,1954.0,,,50.6517,5.6308,[nan],"{'JRC': ['H1610'], 'GEO': ['GEO42005']}"
2340,Kráľová kralova kralova,Hydro,Run-Of-River,Store,Slovakia,45.06,,0.0,0.0,0.0,0.0,1985.0,1985.0,,,48.19048,17.8285,[nan],"{'JRC': ['H898'], 'GEO': ['GEO42651']}"
