CARMA,Name,Name,Name,Name,Fueltype,Fueltype,Fueltype,Fueltype,Technology,Technology,Technology,Technology,Set,Set,Set,Set,Country,Country,Country,Country,Capacity,Capacity,Capacity,Capacity,Efficiency,Efficiency,Efficiency,Efficiency,Duration,Duration,Duration,Duration,Volume_Mm3,Volume_Mm3,Volume_Mm3,Volume_Mm3,DamHeight_m,DamHeight_m,DamHeight_m,DamHeight_m,StorageCapacity_MWh,StorageCapacity_MWh,StorageCapacity_MWh,StorageCapacity_MWh,DateIn,DateIn,DateIn,DateIn,DateRetrofit,DateRetrofit,DateRetrofit,DateRetrofit,DateMothball,DateMothball,DateMothball,DateMothball,DateOut,DateOut,DateOut,DateOut,lat,lat,lat,lat,lon,lon,lon,lon,EIC,EIC,EIC,EIC,projectID,projectID,projectID,projectID
,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC,CARMA,ENTSOE,GEO,JRC
id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Montezic,Montezic,Montezic pump,Montezic montezic montezic pump,Hydro,Hydro,Hydro,Hydro,,,Pumped Storage,Pumped Storage,PP,PP,Store,Store,France,France,France,France,793.604591940945,910.0,860.4613161668782,910.0,,,,,0.0,0.0,0.0,40.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,423.0,0.0,0.0,0.0,36400.0,,,1982.0,,,,1983.0,,,,,,,,,,44.709534999999995,44.709426,44.733999999999995,44.73766,2.639448,2.640329,2.641,2.64342,[nan],['17W100P100P02772'],[nan],[nan],['CARMA29248'],['17W100P100P02772'],['GEO42240'],['H20']
25,Laxede,Laxede,Laxede,Laxede laxede laxede,Hydro,Hydro,Hydro,Hydro,,,Run-Of-River,Reservoir,PP,PP,PP,Store,Sweden,Sweden,Sweden,Sweden,179.34419561297014,207.0,140.2877064120249,207.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,,,1962.0,,,,2011.0,,,,,,,,,,66.2244340312742,66.218548,66.2242,66.2682205,20.8671569824219,20.8570281,20.86,20.8259525,[nan],['46WPU0000000037M'],[nan],[nan],['CARMA24707'],['46WPU0000000037M'],['GEO42913'],['H275']
26,Letsi,Letsi,Letsi,Letsi letsi letsi,Hydro,Hydro,Hydro,Hydro,,,Reservoir,Reservoir,PP,PP,PP,Store,Sweden,Sweden,Sweden,Sweden,382.96642643992317,440.0,450.1910828025478,435.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,,,1967.0,,,,1967.0,,,,,,,,,,,66.50421800000001,66.5024,66.503203,,20.382663100000002,20.3797,20.380167,[nan],['46WPU0000000035Q'],[nan],[nan],['CARMA25060'],['46WPU0000000035Q'],['GEO44343'],['H78']
27,Ligga,Ligga,Ligga,Ligga ligga ligga,Hydro,Hydro,Hydro,Hydro,,,Run-Of-River,Reservoir,PP,PP,PP,Store,Sweden,Sweden,Sweden,Sweden,305.78141842987725,343.0,219.58075786229986,175.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,,,1954.0,,,,1982.0,,,,,,,,,,66.95926996026961,66.7799974,66.8094,66.80939000000001,19.8207092285156,19.9430221,19.8968,19.896293,[nan],['46WPU0000000031Y'],[nan],[nan],['CARMA25222'],['46WPU0000000031Y'],['GEO42917'],['H285']
28,Linthal limmern,Kll linth limmern,Linth limmern,Limmern,Hydro,Hydro,Hydro,Hydro,,,Pumped Storage,Pumped Storage,PP,PP,Store,Store,Switzerland,Switzerland,Switzerland,Switzerland,29.93420829250933,641.0,945.5618858976683,1000.0,,,,,0.0,0.0,0.0,34.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,34000.0,,,2015.0,,,,2015.0,,,,,,,,,,,46.8795531,46.848859999999995,46.9218287,,8.983191900000001,9.01184,8.999643800000001,[nan],['12W-0000000018-B'],[nan],[nan],['CARMA25356'],['12W-0000000018-B'],['GEO45437'],['H56']
29,Lotru,Lotru,Lotru ciunget,Chelotru lotr ca lotru ciunget romania,Hydro,Hydro,Hydro,Hydro,,,Reservoir,Reservoir,PP,PP,PP,Store,Romania,Romania,Romania,Romania,526.0502017171705,509.0,503.5031847133758,510.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,,,1973.0,,,,,,,,,,,,,,,45.3368973,45.4472,45.446999,,24.2728324,23.7683,23.768,[nan],['30W-CHE-LOTR---A'],[nan],[nan],['CARMA25910'],['30W-CHE-LOTR---A'],['GEO40977'],['H53']
30,Malgovert,Malgovert,Brevieres malgovert,Malgovert malgovert brevieres malgovert,Hydro,Hydro,Hydro,Hydro,,,Reservoir,Reservoir,PP,PP,PP,Store,France,France,France,France,258.4436006649788,297.0,390.95541401273886,297.0,,,,,0.0,0.0,0.0,1370.7070707070707,0.0,0.0,0.0,230.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,407100.0,,,1952.0,,,,,,,,,,,,,,45.6745226194511,,45.618,45.61787,6.39060974121094,,6.79,6.79074,[nan],['17W100P100P02853'],[nan],[nan],['CARMA26808'],['17W100P100P02853'],['GEO39815'],['H149']
31,Malta hauptstufe,Malta hauptstufe,Malta haupstufe rottau,Malta hauptstufe malta hauptstufe malta haupstufe rottau,Hydro,Hydro,Hydro,Hydro,,,Pumped Storage,Reservoir,PP,PP,Store,Store,Austria,Austria,Austria,Austria,635.2317457422038,730.0,690.2601767052979,730.0,,,,,0.0,0.0,0.0,22.054794520547944,0.0,0.0,0.0,6.2,0.0,0.0,0.0,1106.0,0.0,0.0,0.0,16100.0,,,1978.0,,,,1979.0,,,,,,,,,,48.25,46.8701073,46.8707,46.870564,15.15,13.329044699999999,13.3294,13.329601,[nan],['14W-DMH-KW-----9'],[nan],[nan],['CARMA26838'],['14W-DMH-KW-----9'],['GEO44815'],['H34']
32,Malta oberstufe,Malta oberstufe,Malta oberstufe,Malta oberstufe malta oberstufe malta oberstufe,Hydro,Hydro,Hydro,Hydro,,,Pumped Storage,Reservoir,PP,PP,Store,Store,Austria,Austria,Austria,Austria,104.42165683433487,120.0,113.4674263077202,120.0,,,,,0.0,0.0,0.0,4902.5,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,588300.0,,,1979.0,,,,1976.0,,,,,,,,,,,47.0659039,47.0659,47.065944,,13.352764800000001,13.3539,13.353102,[nan],['14W-DMO-KW-----D'],[nan],[nan],['CARMA26839'],['14W-DMO-KW-----D'],['GEO44814'],['H425']
33,Marckolsheim,Marckolsheim,Marckolsheim,Marckolsheim marckolsheim marckolsheim,Hydro,Hydro,Hydro,Hydro,,,Run-Of-River,Run-Of-River,PP,PP,PP,Store,France,France,France,France,135.74815388463534,156.2,105.72406860036659,156.2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.148,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,,,1961.0,,,,,,,,,,,,,,48.16471147729771,48.163894,48.153999999999996,48.15371,7.544002532958981,7.5439849999999975,7.5889999999999995,7.5898,[nan],['17W100P100P0305N'],[nan],[nan],['CARMA27178'],['17W100P100P0305N'],['GEO39808'],['H316']
