id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID
2377,Central hidroelectrica conso,Hydro,Pumped Storage,Store,Spain,267.0,,0.0,0.0,193.0,0.0,,,,,42.166872999999995,-7.1752449999999905,[nan],"{'JRC': ['H166'], 'CARMA': ['CARMA9250']}"
2378,Brummbach braunwald,Hydro,Run-Of-River,Store,Switzerland,0.93,,0.0,0.0,0.0,0.0,,,,,46.9386081948,8.98305061474,[nan],"{'JRC': ['H2341'], 'CARMA': ['CARMA5990']}"
2379,Brulandsfoss,Hydro,Reservoir,Store,Norway,12.5,,0.0,0.0,20.39,0.0,,,,,61.43568199999999,5.915368,[nan],"{'JRC': ['N93'], 'CARMA': ['CARMA5988']}"
2380,Brügg,Hydro,Run-Of-River,Store,Switzerland,5.2,,0.0,0.0,0.0,0.0,,,,,47.1191458965999,7.2580998136,[nan],"{'JRC': ['H1978'], 'CARMA': ['CARMA5975']}"
2381,Bigge,Hydro,Run-Of-River,Store,Germany,15.0,,0.0,0.0,0.0,0.0,,,,,51.093173,7.862719999999991,[nan],"{'JRC': ['H1543'], 'CARMA': ['CARMA4580']}"
2382,Berlifoss,Hydro,Reservoir,Store,Norway,9.5,,0.0,0.0,29.0,0.0,,,,,58.94593100000001,8.482192,[nan],"{'JRC': ['N369'], 'CARMA': ['CARMA4159']}"
2383,San bernardo,Hydro,Reservoir,Store,Italy,34.2,,0.0,20.0,1014.0,0.0,,,,,46.34200870000001,9.3687663,[nan],"{'JRC': ['H3413'], 'CARMA': ['CARMA39087']}"
2384,Bertoldsheim,Hydro,Run-Of-River,Store,Germany,18.9,,0.0,0.0,0.0,0.0,,,,,48.735932,11.020923,[nan],"{'JRC': ['H1433'], 'CARMA': ['CARMA4220']}"
2385,Beznau,Hydro,Run-Of-River,Store,Switzerland,25.7,,0.0,0.0,0.0,0.0,,,,,47.557805126000005,8.23714123041,[nan],"{'JRC': ['H1236'], 'CARMA': ['CARMA4312', 'CARMA4313']}"
2386,Biasca,Hydro,Reservoir,Store,Switzerland,324.0,,0.0,4.6,92.0,0.0,,,,,46.334988521599904,8.98264959939,[nan],"{'JRC': ['H133'], 'CARMA': ['CARMA4485', 'CARMA31907']}"
2387,Biescas,Hydro,Reservoir,Store,Spain,62.0,,0.0,0.0,0.0,0.0,,,,,42.624001,-0.24,[nan],"{'JRC': ['H719'], 'CARMA': ['CARMA4530']}"
2388,Bingsfoss,Hydro,Reservoir,Store,Norway,32.5,,0.0,0.0,5.0,0.0,,,,,59.989971,11.264708,[nan],"{'JRC': ['N172'], 'CARMA': ['CARMA4651']}"
