projectID,best_match,compound_code,formatted_address,global_code,KeywordName,lat,lon,place_name,num_results,partial_match,place_id,PlantName,place_ok,return_pos,search_api_calls,search_method,search_status,search_text,search_time,sim_score,types,gm_lat,gm_lon,gm_url
26WIMPI-00834908,True,"554Q+F9 Priolo Gargallo, Province of Syracuse","Via della Pentapoli, 96010 Priolo Gargallo SR",8F9Q554Q+F9,Priolo Gargallo,,,Punto Enel Priolo Gargallo,13,,ChIJ5wQr6RnRExMR7S5_SCM8ILA,Priolo Gargallo,True,1,1,places,OK,"Priolo Gargallo solar farm, Italy",2/2/2021 17:10,0.7317073170731707,"['point_of_interest', 'establishment']",37.1561802,15.1884176,https://www.google.com/maps/place/?q=place_id:ChIJ5wQr6RnRExMR7S5_SCM8ILA
30W-CET-PROGR--Z,True,,"Progresu, Romania",,Progresu,44.358228499999996,26.460381899999994,Progresu,1,,ChIJjZJi6U7nsUARsWKK_aQeZpQ,Progresu,True,1,2,places,OK,"Progresu, Romania",2/2/2021 17:11,1.0,"['locality', 'political']",44.3582285,26.4603819,https://www.google.com/maps/place/?q=place_id:ChIJjZJi6U7nsUARsWKK_aQeZpQ
29WPROTERGIACC-4,True,"JWJV+P7 Thessaloniki, Greece","Mitropoleos 53, Thessaloniki 546 23, Greece",8GG4JWJV+P7,Protergia Cc,,,Protergia,1,,ChIJPYlUxrg5qBQRjVXZXlnb6lY,Protergia Cc,True,1,2,places,OK,"Protergia Cc, Greece",2/2/2021 17:11,0.8571428571428571,"['point_of_interest', 'establishment']",40.6318096,22.9431326,https://www.google.com/maps/place/?q=place_id:ChIJPYlUxrg5qBQRjVXZXlnb6lY
17W100P100P03469,True,FF8Q+78 Meyreuil,"CD6C, 13590 Meyreuil",8FM7FF8Q+78,Provence,44.0144936,6.211643799999999,Centrale Thermique De Provence,1,,ChIJVe0DPXiRyRIRkuI3EV7AOEs,Provence,True,1,1,places,OK,"Provence coal-fired power station, France",2/2/2021 17:11,0.42105263157894735,"['point_of_interest', 'establishment']",43.4656948,5.4883045,https://www.google.com/maps/place/?q=place_id:ChIJVe0DPXiRyRIRkuI3EV7AOEs
26WIMPI-S13PRVVW,True,"GC66+G7 L'Aquila, Province of L'Aquila","SS80, 67100 L'Aquila AQ",8FJMGC66+G7,Provvidenza,45.11235,7.593798499999999,Provvidenza Hydroelectric Power Plant,1,,ChIJacEsTQ8vLhMRo5IoKRS5lvY,Provvidenza,True,1,1,places,OK,"Provvidenza hydroelectric dam, Italy",2/2/2021 17:11,0.7857142857142857,"['point_of_interest', 'establishment']",42.5113517,13.4107272,https://www.google.com/maps/place/?q=place_id:ChIJacEsTQ8vLhMRo5IoKRS5lvY
32W001100100070H,True,5VX5+Q6 Sestrimo,Сестримо,8GJ55VX5+Q6,Pshpp Belmeken,,,Pavets Belmeken,2,,ChIJSy3V_5pEqxQRmSPnISwpiUA,Pshpp Belmeken,True,2,1,places,OK,"Pshpp Belmeken hydroelectric dam, Bulgaria",2/2/2021 17:11,0.7586206896551724,"['point_of_interest', 'establishment']",42.1994941,23.8580222,https://www.google.com/maps/place/?q=place_id:ChIJSy3V_5pEqxQRmSPnISwpiUA
32W0011001000692,True,5V6C+VH Belovo,4469 Belovo,8GJ55V6C+VH,Pshpp Chaira Gen,,,Chaira Hydro Power Plant,1,,ChIJqXuyWD1CqxQR7weMqEnrmJM,Pshpp Chaira Gen,True,1,1,places,OK,"Pshpp Chaira Gen hydroelectric dam, Bulgaria",2/2/2021 17:11,0.4705882352941176,"['point_of_interest', 'establishment']",42.1621959,23.8714454,https://www.google.com/maps/place/?q=place_id:ChIJqXuyWD1CqxQR7weMqEnrmJM
32W0011001000781,False,,,,Pshpp Orfeus Gen,,,,0,,,Pshpp Orfeus Gen,False,0,8,places,ZERO,"Pshpp Orfeus Gen, Bulgaria",2/2/2021 17:11,0.0,[],,,
18WPNN3-12345-0I,True,"PRRM+7J Ronda, Spain","Calle Armiñán, s/n, 29400 Ronda, Málaga, Spain",8C8PPRRM+7J,Puentenuev,,,Puente Nuevo,1,,ChIJwQIZzzgxDQ0RwZOiTTtbQE4,Puentenuev,True,1,2,places,OK,"Puentenuev, Spain",2/2/2021 17:11,0.9090909090909092,"['tourist_attraction', 'point_of_interest', 'establishment']",36.7407181,-5.1658846,https://www.google.com/maps/place/?q=place_id:ChIJwQIZzzgxDQ0RwZOiTTtbQE4
18WPVENT2--12342,False,,,,Pvent,,,,0,,,Pvent,False,0,4,places,ZERO,"Pvent, Spain",2/2/2021 17:11,0.0,[],,,
18WPVENT1--1234A,False,,,,Pvent,,,,0,,,Pvent,False,0,4,places,ZERO,"Pvent, Spain",2/2/2021 17:11,0.0,[],,,
15WPECS------PPO,True,3766+88 Pécs,"Pécs, 7630",8FRW3766+88,Pécsi,,,Pécs Napelempark,1,,ChIJTyn3x0SxQkcROZgCyB-5nGs,Pécsi,True,1,1,places,OK,"Pécsi power station, Hungary",2/2/2021 17:11,0.5714285714285714,"['point_of_interest', 'establishment']",46.0608141,18.260762,https://www.google.com/maps/place/?q=place_id:ChIJTyn3x0SxQkcROZgCyB-5nGs
19W000000000142A,True,,"98-335 Pątnów, Poland",,Pątnów,51.146536700000006,18.6073064,Pątnów,1,,ChIJragVFwuDEEcR_QNdX_6oLBk,Pątnów,True,1,2,places,OK,"Pątnów, Poland",2/2/2021 17:11,1.0,"['locality', 'political']",51.1465367,18.6073064,https://www.google.com/maps/place/?q=place_id:ChIJragVFwuDEEcR_QNdX_6oLBk
26WIMPI-S02QRTUB,False,,,,Quartnus,,,,0,,,Quartnus,False,0,4,places,ZERO,"Quartnus, Italy",2/2/2021 17:11,0.0,[],,,
26WIMPI-S05QRUEM,True,,"32030 Quero, Province of Belluno, Italy",,Quero,45.9223593,11.9304726,Quero,1,,ChIJa_TX5TfgeEcRLqsbGYvwlys,Quero,True,1,2,places,OK,"Quero, Italy",2/2/2021 17:11,1.0,"['locality', 'political']",45.9223593,11.9304726,https://www.google.com/maps/place/?q=place_id:ChIJa_TX5TfgeEcRLqsbGYvwlys
26WIMPI-S01QNCNO,True,"HR93+MF Quincinetto, Metropolitan City of Turin","10010 Quincinetto, Metropolitan City of Turin",8FQ9HR93+MF,Quincinetto,45.561809000000004,7.8078994999999995,Centrale di Quincinetto,1,,ChIJ3WVwD02XiEcRlVf6nV9qJ4E,Quincinetto,True,1,1,places,OK,"Quincinetto hydroelectric dam, Italy",2/2/2021 17:11,0.6470588235294118,"['point_of_interest', 'establishment']",45.5692038,7.8036488,https://www.google.com/maps/place/?q=place_id:ChIJ3WVwD02XiEcRlVf6nV9qJ4E
26WIMPI-S08ESDS9,True,,"53027 San Quirico d'Orcia, Province of Siena, Italy",,Quirico,,,San Quirico d'Orcia,1,,ChIJQUi5aOVlKRMR-KV1QKIk5nk,San Quirico,True,1,2,places,OK,"Quirico, Italy",2/2/2021 17:11,0.5384615384615384,"['locality', 'political']",43.0581804,11.6060636,https://www.google.com/maps/place/?q=place_id:ChIJQUi5aOVlKRMR-KV1QKIk5nk
44W-00000000006L,True,MC6X+QC Raahe,"Rautaruukintie 155, 92101 Raahe",9GP6MC6X+QC,Raahen Voima,,,Raahen Voima Oy,1,,ChIJu6z4ijtZgEYR8FpzgrBvrJk,Raahen Voima,True,1,1,places,OK,"Raahen Voima electric power plant, Finland",2/2/2021 17:11,0.8888888888888888,"['point_of_interest', 'establishment']",64.66199,24.4485934,https://www.google.com/maps/place/?q=place_id:ChIJu6z4ijtZgEYR8FpzgrBvrJk
50WP00000000552X,True,36RF+W6 Rindal Municipality,6657 Rindal,9FMF36RF+W6,Rana,66.4393389,14.312232199999999,Brandåa Hydroelectric Power Station,20,,ChIJ2YnO__0ZE0YR7qMN2rHutl4,Rana,True,5,1,places,OK,"Rana hydroelectric dam, Norway",2/2/2021 17:11,0.7272727272727273,"['point_of_interest', 'establishment']",63.0922742,9.2230373,https://www.google.com/maps/place/?q=place_id:ChIJ2YnO__0ZE0YR7qMN2rHutl4
17W100P100P0272C,True,,"Rance, France",,Rance,48.5690229,-1.9965277,Rance,1,,ChIJDd7Z-Z-IDkgRwqnTfce1Joo,Rance,True,1,2,places,OK,"Rance, France",2/2/2021 17:11,1.0,"['natural_feature', 'establishment']",48.5690229,-1.9965277,https://www.google.com/maps/place/?q=place_id:ChIJDd7Z-Z-IDkgRwqnTfce1Joo
26WIMPI-S09R2NC7,False,"69J4+H5 Tolentino, Province of Macerata, Italy","Contrada Rancia, 62029 Tolentino MC, Italy",8FMM69J4+H5,Rancia,43.23085,13.3558499,Rancia Castle,1,,ChIJ8w9y_NnuLRMRiDSUAZp7QDE,Rancia,False,1,4,places,BUST,"Rancia, Italy",2/2/2021 17:11,0.631578947368421,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",43.2313922,13.3553848,https://www.google.com/maps/place/?q=place_id:ChIJ8w9y_NnuLRMRiDSUAZp7QDE
17W100P100P0312Q,True,,"Randens, 73220 Val-d'Arc, France",,Randens,45.543855,6.310284999999999,Randens,1,,ChIJlcqm0CbPi0cRsK265CqrCAQ,Randens,True,1,2,places,OK,"Randens, France",2/2/2021 17:11,1.0,"['colloquial_area', 'political']",45.543855,6.310285,https://www.google.com/maps/place/?q=place_id:ChIJlcqm0CbPi0cRsK265CqrCAQ
48WSTN00000RANN0,True,"JPQR+C3 Ventnor, United Kingdom","39 Newport Rd, Godshill, Ventnor PO38 3HU, United Kingdom",9C2WJPQR+C3,Rann,,,Rann K R,2,,ChIJATIpqVuIdEgR66S4oG5t_e0,Rann,True,1,2,places,OK,"Rann, United Kingdom",2/2/2021 17:11,0.6666666666666666,"['point_of_interest', 'establishment']",50.6385241,-1.2597616,https://www.google.com/maps/place/?q=place_id:ChIJATIpqVuIdEgR66S4oG5t_e0
26WIMPI-S16CSSCB,False,,,,Ratino,42.524499299999995,12.8342284,,0,,,Ratino,False,0,4,places,ZERO,"Ratino, Italy",2/2/2021 17:11,0.0,[],,,
48WSTN000RATSGTB,False,,,,Ratsgt,51.335545,1.4198950000000001,,0,,,Ratsgt,False,0,4,places,ZERO,"Ratsgt, United Kingdom",2/2/2021 17:11,0.0,[],,,
30W-CHE-RUIM---B,True,,"Râul Mare, Romania",,Raul Mare,,,Râul Mare,1,,ChIJ-0IBCN16TkcReRYrM532Mh0,Raul Mare,True,1,2,places,OK,"Raul Mare, Romania",2/2/2021 17:11,0.8888888888888888,"['natural_feature', 'establishment']",45.5928178,22.9704067,https://www.google.com/maps/place/?q=place_id:ChIJ-0IBCN16TkcReRYrM532Mh0
26WIMPI-S03RDLMM,True,"JJM5+M6 Dalmine, Province of Bergamo","Via Dossi, 12, 24044 Dalmine BG",8FQFJJM5+M6,Rea Dalmine,,,Rea Dalmine S.p.A,1,,ChIJxXzePudNgUcRSlDuEtkcBJU,Rea Dalmine,True,1,1,places,OK,"Rea Dalmine waste-to-energy facility, Italy",2/2/2021 17:11,0.7857142857142857,"['point_of_interest', 'establishment']",45.6341481,9.6080645,https://www.google.com/maps/place/?q=place_id:ChIJxXzePudNgUcRSlDuEtkcBJU
16WREGUA-------O,False,,"Peso da Régua, Portugal",,Regua,41.1656737,-7.7867017999999995,Peso da Régua,1,,ChIJQ92mS0RNOw0RoDyQ5L3rAAQ,Regua,False,1,4,places,BUST,"Regua, Portugal",2/2/2021 17:11,0.4444444444444444,"['administrative_area_level_2', 'political']",41.1656737,-7.7867018,https://www.google.com/maps/place/?q=place_id:ChIJQ92mS0RNOw0RoDyQ5L3rAAQ
14W-DRP-KW-----M,True,,9815 Reißeck,,Reisseck,46.8810704,13.2906324,Reißeck,4,,ChIJ95X_HrStcEcRBetP3XLyJss,Reisseck,True,1,1,places,OK,"Reisseck hydroelectric dam, Austria",2/2/2021 17:11,0.8,"['locality', 'political']",46.8810704,13.2906324,https://www.google.com/maps/place/?q=place_id:ChIJ95X_HrStcEcRBetP3XLyJss
50WP00000000565O,True,,"Rendalen Municipality, Norway",,Rendal,61.89163670000001,11.3160313,Rendalen Municipality,1,,ChIJiZgRvwuwa0YRJoxiCF5oKu8,Rendal,True,1,2,places,OK,"Rendal, Norway",2/2/2021 17:11,0.8571428571428571,"['administrative_area_level_2', 'political']",61.6960888,11.1962445,https://www.google.com/maps/place/?q=place_id:ChIJiZgRvwuwa0YRJoxiCF5oKu8
26WIMPI-S18RENDU,True,,"87036 Rende, Province of Cosenza, Italy",,Rende Ecosesto,,,Rende,2,,ChIJd5IBiiCYPxMRX9Bcv28nY5Q,Rende Ecosesto,True,1,2,places,OK,"Rende Ecosesto, Italy",2/2/2021 17:11,0.5263157894736842,"['locality', 'political']",39.3317751,16.1839028,https://www.google.com/maps/place/?q=place_id:ChIJd5IBiiCYPxMRX9Bcv28nY5Q
32W001100100005S,True,,"Republika, Bulgaria",,Republika Pk,,,,8,,ChIJ1bNPOpaQqkARX7ThpAA57P0,Republika Pk,True,3,6,geocode,OK,Republika,2/2/2021 17:11,0.8571428571428571,"['neighborhood', 'political']",42.74448,23.2320168,https://www.google.com/maps/place/?q=place_id:ChIJ1bNPOpaQqkARX7ThpAA57P0
26WIMPI-S08AGCA5,True,"V38J+8G Fidenza, Province of Parma, Italy","Via Bologna, 9, 43036 Fidenza PR, Italy",8FPGV38J+8G,Rete,40.9389167,14.367575800000001,Snam Rete Gas,18,,ChIJlfwsLRFegEcR7khhD60NvmM,Rete,True,7,2,places,OK,"Rete, Italy",2/2/2021 17:11,0.4705882352941176,"['point_of_interest', 'establishment']",44.865829,10.0813173,https://www.google.com/maps/place/?q=place_id:ChIJlfwsLRFegEcR7khhD60NvmM
