projectID,formatted_address,geometry,place_name,num_results,place_id,place_ok,search_api_calls,search_method,search_status,search_text,search_time,sim_score,types
17W100P100P01784,"33820 Braud-et-Saint-Louis, France","{'location': {'lat': 45.257431, 'lng': -0.690649}, 'viewport': {'northeast': {'lat': 45.25877472989272, 'lng': -0.6892771201072777}, 'southwest': {'lat': 45.25607507010728, 'lng': -0.6919767798927221}}}",Blayais Nuclear Power Plant,1,ChIJle19JnnJAUgRVudeUhBzu78,TRUE,1,find_place,OK,"Blayais nuclear plant, France",1/29/2021 20:31,0.5,"['point_of_interest', 'establishment']"
26WIMPI-S03SBNFX,"20010 Boffalora sopra Ticino, Metropolitan City of Milan, Italy","{'location': {'lat': 45.46282710000001, 'lng': 8.8293459}, 'viewport': {'northeast': {'lat': 45.4792954, 'lng': 8.8629739}, 'southwest': {'lat': 45.4325401, 'lng': 8.799983}}}",Boffalora sopra Ticino,1,ChIJL8TzgCLxhkcREPJmLgJ4BgQ,TRUE,2,find_place,OK,"Boffalora, Italy",1/29/2021 20:31,0.580645161,"['administrative_area_level_3', 'political']"
26WIMPI-S15BSSN0,"Bussento, Province of Salerno, Italy","{'location': {'lat': 40.1005972, 'lng': 15.4983314}, 'viewport': {'northeast': {'lat': 40.1362132, 'lng': 15.5122694}, 'southwest': {'lat': 40.0645701, 'lng': 15.488828}}}",Bussento,1,ChIJRZDlMs3IPhMRkgPSYU-OZMI,TRUE,2,find_place,OK,"Bussento, Italy",1/29/2021 20:31,1,"['natural_feature', 'establishment']"
48WSTN00000CARRI,"12 Helmet Row, London EC1V 3QJ, United Kingdom","{'location': {'lat': 51.52539119999999, 'lng': -0.0946247}, 'viewport': {'northeast': {'lat': 51.52675462989273, 'lng': -0.09323617010727778}, 'southwest': {'lat': 51.52405497010728, 'lng': -0.09593582989272222}}}",Leigh Carr,1,ChIJKznu7dMadkgRtn1JNXDi7Zc,TRUE,3,find_place,BUST,"Carr, United Kingdom",1/29/2021 20:31,0.571428571,"['accounting', 'finance', 'point_of_interest', 'establishment']"
26WIMPI-S18CSTR3,"85046 Castrocucco Province of Potenza, Italy","{'location': {'lat': 39.93698029999999, 'lng': 15.7633592}, 'viewport': {'northeast': {'lat': 39.9390688, 'lng': 15.765659}, 'southwest': {'lat': 39.9348082, 'lng': 15.7596189}}}",Castrocucco,1,ChIJcViOn0HfPhMRFcRuWrOHHuQ,TRUE,2,find_place,OK,"Castrocucco, Italy",1/29/2021 20:31,1,"['locality', 'political']"
26WIMPI-S12G1VIS,"Via Monte Nevoso, 2, 20095 Cusano Milanino MI, Italy","{'location': {'lat': 45.5565557, 'lng': 9.1745632}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 45.5579046802915, 'lng': 9.175912180291503}, 'southwest': {'lat': 45.5552067197085, 'lng': 9.173214219708498}}}",,1,ChIJyWiAiLO_hkcRFg-POWYciUQ,FALSE,4,geocode,BUST,"Colari, Italy",1/29/2021 20:31,0.204081633,"['establishment', 'point_of_interest']"
26WIMPI-S03CRNOV,"Corenno Plinio, 23824 Dervio, Province of Lecco, Italy","{'location': {'lat': 46.08966400000001, 'lng': 9.3113951}, 'viewport': {'northeast': {'lat': 46.09069417989271, 'lng': 9.3124773}, 'southwest': {'lat': 46.08799452010727, 'lng': 9.3096637}}}",Corenno Plinio,1,ChIJE91E9ZkVhEcRrLpuwBqcrQU,TRUE,2,find_place,OK,"Corenno, Italy",1/29/2021 20:31,0.666666667,"['neighborhood', 'political']"
48WSTN1000COTPSQ,"Allen St, Kensington, London W8 6UX, UK","{'location': {'lat': 51.49714969999999, 'lng': -0.1945935}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 51.49849868029149, 'lng': -0.193244519708498}, 'southwest': {'lat': 51.49580071970849, 'lng': -0.1959424802915021}}}",,1,ChIJB-NS5PMPdkgRtHFE__imumo,FALSE,4,geocode,BUST,"Cotps, United Kingdom",1/29/2021 20:32,0.097560976,"['church', 'establishment', 'place_of_worship', 'point_of_interest']"
26WIMPI-S01CRTOP,"10070 Crot, Metropolitan City of Turin, Italy","{'location': {'lat': 45.230796, 'lng': 7.202860799999999}, 'viewport': {'northeast': {'lat': 45.23233952989272, 'lng': 7.2050362}, 'southwest': {'lat': 45.22963987010728, 'lng': 7.2019688}}}",Crot,1,ChIJFRn6X1KtiUcRlkoLyfBCcKU,TRUE,2,find_place,OK,"Crot, Italy",1/29/2021 20:32,1,"['locality', 'political']"
26WIMPI-S01DCRNE,"12025 Dronero, Province of Cuneo, Italy","{'location': {'lat': 44.4658423, 'lng': 7.3656691}, 'viewport': {'northeast': {'lat': 44.4725466, 'lng': 7.380186699999999}, 'southwest': {'lat': 44.4564415, 'lng': 7.3389068}}}",Dronero,1,ChIJOxWz-gI-zRIRkPwCPK3Cxnk,TRUE,2,find_place,OK,"Dronero, Italy",1/29/2021 20:32,1,"['locality', 'political']"
