projectID,best_match,compound_code,formatted_address,global_code,lat,lon,place_name,num_results,partial_match,place_id,PlantName,place_ok,return_pos,search_api_calls,search_method,search_status,search_text,search_time,sim_score,types,gm_lat,gm_lon,gm_url
26WIMPI-S03RCSL7,,,"14047 Resio, Province of Asti, Italy",,,,Resio,1,,ChIJtcVsemmOh0cRxgI1EbYEXIw,,True,,2,find_place,OK,"Resio, Italy",1/29/2021 17:28,1.0,"['locality', 'political']",44.8254715,8.2755569,https://www.google.com/maps/place/?q=place_id:ChIJtcVsemmOh0cRxgI1EbYEXIw
50WP00000000617V,,,"Valjord, 8226 Straumen, Norway",,,,Siso Energi AS,1,,ChIJcxhaRcYq30URy4TzZYkPxuI,,True,,2,find_place,OK,"Siso, Norway",1/29/2021 17:28,0.444444444,"['point_of_interest', 'establishment']",67.3601305,15.5887862,https://www.google.com/maps/place/?q=place_id:ChIJcxhaRcYq30URy4TzZYkPxuI
28W-G-000000080M,False,"93F2+JH Šoštanj, Slovenia","Termoelekrarna Šoštanj, Cesta Lole Ribarja 18, 3325 Šoštanj, Slovenia",8FRQ93F2+JH,46.3740381,15.0514274,Termoelektrarna Šoštanj d.o.o.,1,,ChIJ1dNMcAheZUcRcuH6OwRWTZM,Teš,False,1,4,places,OK,"Teš, Slovenia",2021-02-02 12:09:57,0.1875,"['point_of_interest', 'establishment']",46.3740381,15.0514274,https://www.google.com/maps/place/?q=place_id:ChIJ1dNMcAheZUcRcuH6OwRWTZM
18WARRU1-1234-0J,,,"26151 Arrúbal, La Rioja, Spain",,,,Arrúbal,1,,ChIJHVTVbTmkWg0RrAAK7RCJqGE,,True,,2,find_place,OK,"Arrubal, Spain",1/29/2021 17:47,0.857142857,"['locality', 'political']",42.434452,-2.2519623,https://www.google.com/maps/place/?q=place_id:ChIJHVTVbTmkWg0RrAAK7RCJqGE
50WP00000000872F,,,"Askara, 6737 Ålfoten, Norway",,,,Askara,1,,ChIJIfza_O2tF0YRHGim6SYSSZQ,,True,,2,find_place,OK,"Askara, Norway",1/29/2021 17:47,1.0,"['natural_feature', 'establishment']",61.7833333,5.6666667,https://www.google.com/maps/place/?q=place_id:ChIJIfza_O2tF0YRHGim6SYSSZQ
32W001100100233F,,,"Galabovo, Bulgaria",,,,Brikel,1,,ChIJVajXbk7jp0ARzd2Ba_MJrgc,,True,,2,find_place,OK,"Brikel, Bulgaria",1/29/2021 17:47,1.0,"['point_of_interest', 'establishment']",42.154658,25.9076141,https://www.google.com/maps/place/?q=place_id:ChIJVajXbk7jp0ARzd2Ba_MJrgc
11WD2BRKW000294C,,,"25576, Osterende, 25576 Brokdorf, Germany",,,,Kernkraftwerk Brokdorf,2,,ChIJkxpoC57ds0cRFIkSE1EPFpk,,True,,1,find_place,OK,"Brokdorf nuclear plant, Germany",1/29/2021 17:47,0.533333333,"['point_of_interest', 'establishment']",53.8505665,9.3458223,https://www.google.com/maps/place/?q=place_id:ChIJkxpoC57ds0cRFIkSE1EPFpk
26WIMPI-S18TECTL,,,"Via Giovanni Boccaccio, 38, 50041 Calenzano FI, Italy",,,,CDR Italy,1,,ChIJxVfB8OJXKhMR15tKzXsD0-8,,True,,2,find_place,OK,"Cdr, Italy",1/29/2021 17:47,0.5,"['point_of_interest', 'establishment']",43.8494267,11.1751462,https://www.google.com/maps/place/?q=place_id:ChIJxVfB8OJXKhMR15tKzXsD0-8
26WIMPI-S02CHTLS,,,"11024 Châtillon, Aosta Valley, Italy",,,,Châtillon,1,,ChIJSb4yV5nGiEcRDNv3-WMSszo,,True,,2,find_place,OK,"Chatillon, Italy",1/29/2021 17:47,0.8888888890000001,"['locality', 'political']",45.7485816,7.6128015,https://www.google.com/maps/place/?q=place_id:ChIJSb4yV5nGiEcRDNv3-WMSszo
26WIMPI-S01CRGEA,,,"28866 Crego, Province of Verbano-Cusio-Ossola, Italy",,,,Crego,1,,ChIJMZC1EFqMhUcRsmZ45rNRnnk,,True,,2,find_place,OK,"Crego, Italy",1/29/2021 17:47,1.0,"['locality', 'political']",46.2562721,8.3404354,https://www.google.com/maps/place/?q=place_id:ChIJMZC1EFqMhUcRsmZ45rNRnnk
