projectID,formatted_address,geometry,name,num_results,place_id,place_ok,search_api_calls,search_method,search_status,search_text,search_time,sim_score,types
26WIMPI-S20F1LMN,"Flumendosa, South Sardinia, Italy","{'location': {'lat': 39.4779846, 'lng': 9.523690199999999}, 'viewport': {'northeast': {'lat': 39.5216223, 'lng': 9.634134999999999}, 'southwest': {'lat': 39.417003, 'lng': 9.411719699999999}}}",Flumendosa,1,ChIJNae1SduZ4BIRKp4R1P3MmSA,True,2,find_place,OK,"Flumendosa, Italy",1/29/2021 17:48,1.0,"['natural_feature', 'establishment']"
26WIMPI-0092784R,"Via Vulcano, 47, 05100 Terni TR, Italy","{'location': {'lat': 42.5741069, 'lng': 12.6757402}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 42.5754558802915, 'lng': 12.6770891802915}, 'southwest': {'lat': 42.5727579197085, 'lng': 12.6743912197085}}}",,1,ChIJTVhOqaX7LhMR4lMqYFs5Pis,False,5,geocode,BUST,"Enersol, Italy",1/29/2021 17:48,0.326530612,"['electrician', 'establishment', 'general_contractor', 'point_of_interest']"
11WD2GHKW000296G,"31860 Emmerthal, Germany","{'location': {'lat': 52.0345525, 'lng': 9.4107749}, 'viewport': {'northeast': {'lat': 52.03565397989272, 'lng': 9.411525279892722}, 'southwest': {'lat': 52.03295432010728, 'lng': 9.408825620107278}}}",Grohnde Nuclear Power Plant,1,ChIJW1QhRXmSukcRQLlHDnF8WLI,True,1,find_place,OK,"Grohnde nuclear plant, Germany",1/29/2021 17:48,0.5,"['point_of_interest', 'establishment']"
11WD2HERR5GKW--1,"Leinhäuser Weg 1A, 30419 Hannover, Germany","{'location': {'lat': 52.3980484, 'lng': 9.678791}, 'viewport': {'northeast': {'lat': 52.40001112989273, 'lng': 9.681050899999997}, 'southwest': {'lat': 52.39731147010728, 'lng': 9.678037700000003}}}",Kraftwerk Herrenhausen,1,ChIJtY23no5zsEcRwaheIQT_l5c,True,2,find_place,OK,"Herrenhausen Kwh, Germany",1/29/2021 17:48,0.6315789470000001,"['point_of_interest', 'establishment']"
11WD8SCHW5X----D,"06682 Teuchern, Germany","{'location': {'lat': 51.1117624, 'lng': 12.0765264}, 'viewport': {'northeast': {'lat': 51.11301492989272, 'lng': 12.07810337989272}, 'southwest': {'lat': 51.11031527010728, 'lng': 12.07540372010728}}}",Industriekraftwerk Deuben,30,ChIJGRLMHBDrpkcR6MupkmvNXSI,True,4,find_place,OK,"Industriekraftwerk, Germany",1/29/2021 17:48,0.808510638,"['point_of_interest', 'establishment']"
46WPU0000000019O,"Järpströmmen, 830 05 Järpen, Sweden","{'location': {'lat': 63.3718361, 'lng': 13.428207}, 'viewport': {'northeast': {'lat': 63.389932, 'lng': 13.4395905}, 'southwest': {'lat': 63.3531241, 'lng': 13.3936573}}}",Järpströmmen,1,ChIJAcYYzqYTbkYRrs2K2OexC5g,True,2,find_place,OK,"Järpströmmen, Sweden",1/29/2021 17:48,1.0,"['natural_feature', 'establishment']"
26WIMPIALENCO-1B,"Via Palù, 570, 23020 Lanzada SO, Italy","{'location': {'lat': 46.2685125, 'lng': 9.876052500000002}, 'viewport': {'northeast': {'lat': 46.27024137989272, 'lng': 9.877051179892723}, 'southwest': {'lat': 46.26754172010727, 'lng': 9.874351520107279}}}",Centrale di Lanzada,1,ChIJ4xaAzBGFg0cRkdFvh4BTCHE,True,1,find_place,OK,"Lanzada hydroelectric dam, Italy",1/29/2021 17:48,0.538461538,"['point_of_interest', 'establishment']"
17W100P100P0229D,"41220 Saint-Laurent-Nouan, France","{'location': {'lat': 47.71981359999999, 'lng': 1.577853}, 'viewport': {'northeast': {'lat': 47.72116342989272, 'lng': 1.579202829892722}, 'southwest': {'lat': 47.71846377010727, 'lng': 1.576503170107278}}}",Centrale Nucléaire de Saint-Laurent-Nouan,1,ChIJaSICxUq95EcRwQr3o4DEhVA,True,1,find_place,OK,"St Laurent nuclear plant, France",1/29/2021 17:48,0.4375,"['point_of_interest', 'establishment']"
11WD7LUDW5GSUEDE,"Ludwigshafen, Germany","{'location': {'lat': 49.47741, 'lng': 8.445179999999999}, 'viewport': {'northeast': {'lat': 49.5479822, 'lng': 8.4770288}, 'southwest': {'lat': 49.426823, 'lng': 8.2981216}}}",Ludwigshafen,1,ChIJY4Hac2nMl0cRwhx3V3rcjjk,True,2,find_place,OK,"Ludwigshafen, Germany",1/29/2021 17:48,1.0,"['locality', 'political']"
26WIMPI-S05MLNOU,"38078 Moline, Trentino, Italy","{'location': {'lat': 46.0841907, 'lng': 10.9241991}, 'viewport': {'northeast': {'lat': 46.08561677989272, 'lng': 10.9256037}, 'southwest': {'lat': 46.08291712010728, 'lng': 10.9220712}}}",Moline,1,ChIJwYZwLU9pgkcRDaIwQ8lUhcA,True,2,find_place,OK,"Moline, Italy",1/29/2021 17:48,1.0,"['locality', 'political']"
