set_key,dataset,gt_set,mod_time,truth_status,names
18WPALOS1-123-0Z | 18WPALOS2-123-0R | 18WPALOS3-123-0J,ENTSOE,"{'18WPALOS2-123-0R', '18WPALOS1-123-0Z', '18WPALOS3-123-0J'}",1/12/2021 10:46,P,
18WPVENT1--1234A | 18WPVENT2--12342,ENTSOE,"{'18WPVENT2--12342', '18WPVENT1--1234A'}",1/12/2021 10:46,P,
18WROB1-12345-0L | 18WROB2-12345-0B,ENTSOE,"{'18WROB1-12345-0L', '18WROB2-12345-0B'}",1/12/2021 10:46,P,
18WSAGU1-123--0J | 18WSAGU2-123--0A | 18WSAGU3-123--01,ENTSOE,"{'18WSAGU3-123--01', '18WSAGU2-123--0A', '18WSAGU1-123--0J'}",1/12/2021 10:46,P,
18WSROQ1-1234-06 | 18WSROQ2-1234-0Y,ENTSOE,"{'18WSROQ2-1234-0Y', '18WSROQ1-1234-06'}",1/12/2021 10:46,P,
18WTAJB-12345-0C | 18WTAJO-12345-0U | 18WUFTA-12345-0O,ENTSOE,"{'18WTAJB-12345-0C', '18WTAJO-12345-0U', '18WUFTA-12345-0O'}",1/12/2021 10:46,P,
18WTER1-12345-0D | 18WTER2-12345-03 | 18WTER3-12345-0U,ENTSOE,"{'18WTER3-12345-0U', '18WTER2-12345-03', '18WTER1-12345-0D'}",1/12/2021 10:46,P,
18WUFBB-12345-0R | 18WUFBG-12345-0E,ENTSOE,"{'18WUFBG-12345-0E', '18WUFBB-12345-0R'}",1/12/2021 10:46,P,
19W0000000000628 | 19W0000000000636,ENTSOE,"{'19W0000000000628', '19W0000000000636'}",1/12/2021 10:46,P,
19W0000000000725 | 19W0000000000741,ENTSOE,"{'19W0000000000741', '19W0000000000725'}",1/12/2021 10:46,P,
19W000000000095U | 19W000000000104I,ENTSOE,"{'19W000000000104I', '19W000000000095U'}",1/12/2021 10:46,P,
19W000000000106E | 19W000000000107C,ENTSOE,"{'19W000000000106E', '19W000000000107C'}",1/12/2021 10:46,P,
19W000000000116B | 19W0000000001195,ENTSOE,"{'19W000000000116B', '19W0000000001195'}",1/12/2021 10:46,P,
19W000000000142A | 19W000000000149X,ENTSOE,"{'19W000000000149X', '19W000000000142A'}",1/12/2021 10:46,P,
22WCOOXII000070C | 22WCOOXIX000067T,ENTSOE,"{'22WCOOXII000070C', '22WCOOXIX000067T'}",1/12/2021 10:46,P,
22WDOELX1000076X | 22WDOELX2000077N | 22WDOELX3000078D | 22WDOELX40000793,ENTSOE,"{'22WDOELX2000077N', '22WDOELX3000078D', '22WDOELX1000076X', '22WDOELX40000793'}",1/12/2021 10:46,P,
22WLANGER0001694 | 22WLANGER000171H,ENTSOE,"{'22WLANGER000171H', '22WLANGER0001694'}",1/12/2021 10:46,P,
22WTIHANG000239G | 22WTIHANG000240V | 22WTIHANG000241T | 22WTIHANG000242R,ENTSOE,"{'22WTIHANG000241T', '22WTIHANG000240V', '22WTIHANG000239G', '22WTIHANG000242R'}",1/12/2021 10:46,P,
26WIMPI-00998254 | 26WIMPI-0364301N,ENTSOE,"{'26WIMPI-0364301N', '26WIMPI-00998254'}",1/12/2021 10:46,P,
26WIMPI-01218085 | 26WIMPI-0364390Z,ENTSOE,"{'26WIMPI-0364390Z', '26WIMPI-01218085'}",1/12/2021 10:46,P,
26WIMPI-0225833G | 26WIMPI-0693963H,ENTSOE,"{'26WIMPI-0693963H', '26WIMPI-0225833G'}",1/12/2021 10:46,P,
26WIMPI-0602190V | 26WIMPI-S09B3GN8,ENTSOE,"{'26WIMPI-0602190V', '26WIMPI-S09B3GN8'}",1/12/2021 10:46,P,
26WIMPI-M03SFRN0 | 26WIMPI-S03SFRNQ,ENTSOE,"{'26WIMPI-S03SFRNQ', '26WIMPI-M03SFRN0'}",1/12/2021 10:46,P,
26WIMPI-S01V2RZE | 26WIMPI-S01VRZAE,ENTSOE,"{'26WIMPI-S01V2RZE', '26WIMPI-S01VRZAE'}",1/12/2021 10:46,P,
26WIMPI-S02CHMGM | 26WIMPI-S02CHMP4,ENTSOE,"{'26WIMPI-S02CHMP4', '26WIMPI-S02CHMGM'}",1/12/2021 10:46,P,
26WIMPI-S02H1NO5 | 26WIMPI-S02HN2OH,ENTSOE,"{'26WIMPI-S02HN2OH', '26WIMPI-S02H1NO5'}",1/12/2021 10:46,P,
26WIMPI-S02PNSME | 26WIMYI-S01PANTB,ENTSOE,"{'26WIMPI-S02PNSME', '26WIMYI-S01PANTB'}",1/12/2021 16:34,X,[PONT ST. MARTIN | PONT]
26WIMPI-S03AGMS6 | 26WIMPIGROSIO-11,ENTSOE,"{'26WIMPIGROSIO-11', '26WIMPI-S03AGMS6'}",1/12/2021 10:46,P,
26WIMPI-S03CDGL3 | 26WIMPIMONICA-1D,ENTSOE,"{'26WIMPIMONICA-1D', '26WIMPI-S03CDGL3'}",1/12/2021 10:46,P,
26WIMPI-S03IMSLC | 26WIMPII-LIRO-1L,ENTSOE,"{'26WIMPII-LIRO-1L', '26WIMPI-S03IMSLC'}",1/12/2021 16:34,X,[ISOLATO SPLUGA | ISOLA]
26WIMPI-S04PGEPT | 26WIMPI-S04PGRDE,ENTSOE,"{'26WIMPI-S04PGRDE', '26WIMPI-S04PGEPT'}",1/12/2021 16:34,C,[PONTE GARDENA ENEL PROD | PONTE GARDENA]
26WIMPI-S09C1RB2 | 26WIMPI-S09C2RBZ,ENTSOE,"{'26WIMPI-S09C2RBZ', '26WIMPI-S09C1RB2'}",1/12/2021 10:46,P,
26WIMPI-S09P5NC5 | 26WIMPI-S09PNCNI | 26WIMPI-S09PNCT6,ENTSOE,"{'26WIMPI-S09PNCNI', '26WIMPI-S09P5NC5', '26WIMPI-S09PNCT6'}",1/12/2021 10:46,P,
26WIMPI-S09R2NC7 | 26WIMPI-S09RNCAY,ENTSOE,"{'26WIMPI-S09R2NC7', '26WIMPI-S09RNCAY'}",1/12/2021 10:46,P,
26WIMPI-S09T3RVH | 26WIMPI-S09T4RVD,ENTSOE,"{'26WIMPI-S09T3RVH', '26WIMPI-S09T4RVD'}",1/12/2021 10:46,P,
26WIMPI-S10GLLT5 | 26WIMPIVELINO-1Q,ENTSOE,"{'26WIMPIVELINO-1Q', '26WIMPI-S10GLLT5'}",1/12/2021 10:46,P,
26WIMPI-S12FIRAU | 26WIMPI-S12FIRFK,ENTSOE,"{'26WIMPI-S12FIRFK', '26WIMPI-S12FIRAU'}",1/12/2021 10:46,P,
26WIMPI-S15ACRRR | 26WIMPI-S15TDARG,ENTSOE,"{'26WIMPI-S15ACRRR', '26WIMPI-S15TDARG'}",1/16/2021 17:25,C,[ACERRA | TERMOVALORIZZATORE DI ACERRA]
26WIMPI-S15M1TS3 | 26WIMYI-S15M2TSB,ENTSOE,"{'26WIMPI-S15M1TS3', '26WIMYI-S15M2TSB'}",1/12/2021 10:46,P,
26WIMPI-S18M1CN9 | 26WIMPI-S18M2CN5,ENTSOE,"{'26WIMPI-S18M2CN5', '26WIMPI-S18M1CN9'}",1/12/2021 10:46,P,
26WIMPI-S18S1TRV | 26WIMPI-S18S2TRR,ENTSOE,"{'26WIMPI-S18S2TRR', '26WIMPI-S18S1TRV'}",1/12/2021 10:46,P,
26WIMPI-S20F1LMN | 26WIMPI-S20F2LMJ | 26WIMPI-S20F3LMF,ENTSOE,"{'26WIMPI-S20F2LMJ', '26WIMPI-S20F3LMF', '26WIMPI-S20F1LMN'}",1/12/2021 10:46,P,
29WAISAGDIMI-I-M | 29WAISAGDIMI-IIL | 29WAISAGDIMI-IVW | 29WAISAGDIMI-V-K | 29WAISAGDIMIIIIJ,ENTSOE,"{'29WAISAGDIMI-IVW', '29WAISAGDIMIIIIJ', '29WAISAGDIMI-IIL', '29WAISAGDIMI-I-M', '29WAISAGDIMI-V-K'}",1/12/2021 10:46,P,
29WAISAMYNT-I--L | 29WAISAMYNT-II-1,ENTSOE,"{'29WAISAMYNT-II-1', '29WAISAMYNT-I--L'}",1/12/2021 10:46,P,
