,CARMA,JRC
1775,3997.0,502.0
1776,6057.0,990.0
1777,4095.0,510.0
1778,4370.0,529.0
1779,4490.0,556.0
1780,14746.0,2272.0
1781,4636.0,571.0
1782,4690.0,579.0
1783,4717.0,580.0
1784,4882.0,607.0
1785,5245.0,673.0
1786,5403.0,709.0
1787,5464.0,716.0
1788,5465.0,717.0
1789,5470.0,719.0
1790,5566.0,727.0
1791,5567.0,728.0
1792,5699.0,742.0
1793,5877.0,885.0
1794,16408.0,818.0
1795,5928.0,782.0
1796,5963.0,785.0
1797,5964.0,786.0
1798,6011.0,790.0
1799,6027.0,791.0
1800,6058.0,797.0
1801,6162.0,817.0
1802,6229.0,2475.0
1803,6356.0,2659.0
1804,6360.0,853.0
1805,6402.0,856.0
1806,6454.0,861.0
1807,6511.0,928.0
1808,6526.0,1634.0
1809,6561.0,890.0
1810,6647.0,902.0
1811,6772.0,2638.0
1812,6850.0,931.0
1813,6909.0,940.0
1814,6912.0,939.0
1815,6977.0,948.0
1816,7068.0,1936.0
1817,7077.0,1070.0
1818,7116.0,974.0
1819,7131.0,3298.0
1820,7159.0,1067.0
1821,7202.0,977.0
1822,7377.0,1009.0
1823,7428.0,1012.0
1824,7520.0,1050.0
1825,7819.0,1093.0
1826,7917.0,1108.0
1827,8069.0,1140.0
1828,8210.0,1164.0
1829,8325.0,1281.0
1830,8326.0,1934.0
1831,8533.0,1271.0
1832,8547.0,1211.0
1833,8548.0,1212.0
1834,8598.0,1218.0
1835,8807.0,1286.0
1836,8808.0,1287.0
1837,8828.0,1293.0
1838,8866.0,1299.0
1839,8885.0,1303.0
1840,8901.0,1307.0
1841,8953.0,3030.0
1842,8960.0,1313.0
1843,8967.0,1314.0
1844,9103.0,1335.0
1845,9261.0,1356.0
1846,9347.0,1377.0
1847,9372.0,2639.0
1848,9377.0,1389.0
1849,9378.0,1390.0
1850,9379.0,1391.0
1851,9402.0,1394.0
1852,9788.0,1447.0
1853,9800.0,1450.0
1854,9829.0,1454.0
1855,10092.0,1493.0
1856,10191.0,1516.0
1857,10192.0,1517.0
1858,10313.0,2275.0
1859,10369.0,1567.0
1860,10477.0,1283.0
1861,10637.0,1618.0
1862,10638.0,1619.0
1863,10676.0,1628.0
1864,10822.0,2850.0
1865,10851.0,1664.0
1866,10859.0,1666.0
1867,10863.0,1668.0
1868,10930.0,1680.0
1869,11022.0,1687.0
1870,11069.0,110.0
1871,11092.0,1706.0
1872,11126.0,39.0
1873,11127.0,831.0
1874,11141.0,983.0
1875,11142.0,1713.0
1876,11232.0,71.0
1877,11267.0,1726.0
1878,11344.0,1738.0
1879,11370.0,1885.0
1880,11412.0,3201.0
1881,11415.0,1743.0
1882,11426.0,1748.0
1883,11447.0,1750.0
1884,11529.0,1763.0
1885,11734.0,1788.0
1886,11884.0,1801.0
1887,11926.0,1805.0
1888,11957.0,1810.0
1889,12062.0,1828.0
1890,12112.0,1842.0
1891,12168.0,1937.0
1892,12609.0,1891.0
1893,12612.0,1892.0
1894,12666.0,1900.0
1895,12695.0,1904.0
1896,12698.0,1907.0
1897,12723.0,1964.0
1898,12736.0,1913.0
1899,12744.0,1916.0
1900,12776.0,1925.0
1901,12806.0,1927.0
1902,12836.0,1973.0
1903,12858.0,1981.0
1904,12869.0,1976.0
1905,12929.0,1935.0
1906,12960.0,1944.0
1907,13125.0,2019.0
1908,13144.0,1691.0
1909,13163.0,2023.0
1910,13191.0,2025.0
1911,13289.0,2042.0
1912,13296.0,2043.0
1913,13303.0,2046.0
1914,13307.0,2050.0
1915,13595.0,2106.0
1916,13609.0,2108.0
1917,13610.0,3502.0
1918,13636.0,2115.0
1919,13782.0,2136.0
1920,13925.0,2156.0
1921,14185.0,2192.0
1922,14201.0,2194.0
1923,14370.0,2600.0
1924,14479.0,2229.0
1925,14543.0,2244.0
1926,14702.0,2266.0
1927,14706.0,2267.0
1928,14775.0,2276.0
1929,14822.0,2287.0
1930,15085.0,2322.0
1931,15100.0,2448.0
1932,15104.0,819.0
1933,15109.0,2326.0
1934,15459.0,2388.0
1935,15494.0,2391.0
1936,15508.0,2392.0
1937,15548.0,2399.0
1938,15550.0,2364.0
1939,15561.0,2403.0
1940,15591.0,2404.0
1941,15624.0,2412.0
1942,15662.0,3467.0
1943,15749.0,2441.0
1944,15806.0,2452.0
1945,15895.0,2470.0
1946,15902.0,2472.0
1947,15934.0,2477.0
1948,15939.0,2478.0
1949,16053.0,2489.0
1950,16126.0,2499.0
1951,16131.0,2503.0
1952,16150.0,2507.0
1953,16174.0,2513.0
1954,16238.0,2547.0
1955,16290.0,2523.0
1956,16292.0,2524.0
1957,16301.0,2528.0
1958,16310.0,2548.0
1959,16311.0,2549.0
1960,16331.0,2530.0
1961,16397.0,2559.0
1962,16427.0,956.0
1963,16558.0,2285.0
1964,16559.0,2365.0
1965,16575.0,2612.0
1966,16651.0,2618.0
1967,16761.0,2640.0
1968,16779.0,2643.0
1969,16803.0,2650.0
1970,16804.0,2651.0
1971,16806.0,2652.0
1972,16824.0,2653.0
1973,16931.0,2673.0
1974,16932.0,2674.0
1975,16934.0,2040.0
1976,16935.0,2711.0
1977,17020.0,2689.0
1978,17021.0,2690.0
1979,17061.0,2699.0
1980,17153.0,2717.0
1981,17211.0,3468.0
1982,17249.0,2730.0
1983,17282.0,754.0
1984,17283.0,2739.0
1985,17284.0,2740.0
1986,17301.0,2747.0
1987,17546.0,2808.0
1988,17613.0,2816.0
1989,17791.0,2836.0
1990,17798.0,2840.0
1991,17799.0,2841.0
1992,17868.0,2865.0
1993,17874.0,2867.0
1994,17903.0,2944.0
