,CARMA,GEO
153,21014.0,1520.0
154,3907.0,279.0
155,4488.0,338.0
156,4657.0,355.0
157,4781.0,371.0
158,5027.0,391.0
159,9376.0,695.0
160,9734.0,726.0
161,9949.0,736.0
162,10717.0,803.0
163,11033.0,837.0
164,12109.0,934.0
165,13854.0,1025.0
166,13906.0,1032.0
167,14852.0,1114.0
168,14983.0,1123.0
169,15200.0,1139.0
170,17470.0,1295.0
171,17920.0,1324.0
172,18126.0,1332.0
173,18547.0,1362.0
174,18762.0,1382.0
175,19175.0,1408.0
176,20263.0,1479.0
177,20277.0,1480.0
178,555.0,38.0
179,1018.0,73.0
180,1139.0,84.0
181,5497.0,464.0
182,5596.0,470.0
183,6557.0,531.0
184,8002.0,616.0
185,8201.0,623.0
186,10301.0,765.0
187,12260.0,940.0
188,13407.0,1006.0
189,15462.0,1158.0
190,17372.0,1291.0
191,18165.0,1334.0
192,18270.0,1339.0
193,1325.0,94.0
194,5198.0,480.0
195,5629.0,477.0
196,8942.0,668.0
197,14158.0,1047.0
198,20120.0,1466.0
199,20122.0,1467.0
200,7817.0,599.0
201,8832.0,655.0
202,8877.0,659.0
203,10132.0,756.0
204,11299.0,864.0
205,11893.0,915.0
206,12156.0,936.0
207,12953.0,978.0
208,12994.0,985.0
209,13785.0,1022.0
210,14641.0,1082.0
211,16501.0,1233.0
212,18379.0,1346.0
213,19682.0,1434.0
214,20298.0,1483.0
215,267.0,20.0
216,268.0,19.0
217,378.0,24.0
218,448.0,30.0
219,565.0,39.0
220,571.0,45.0
221,616.0,1157.0
222,781.0,57.0
223,842.0,61.0
224,844.0,62.0
225,847.0,63.0
226,1046.0,76.0
227,1084.0,78.0
228,1129.0,81.0
229,1133.0,981.0
230,1135.0,82.0
231,1159.0,85.0
232,1161.0,86.0
233,1271.0,848.0
234,1335.0,96.0
235,1460.0,811.0
236,1499.0,669.0
237,1516.0,105.0
238,1569.0,111.0
239,1570.0,110.0
240,1572.0,112.0
241,1579.0,114.0
242,1585.0,118.0
243,1642.0,120.0
244,1668.0,122.0
245,1671.0,186.0
246,1803.0,132.0
247,2083.0,151.0
248,2092.0,153.0
249,2184.0,1281.0
250,2232.0,161.0
251,2246.0,164.0
252,2256.0,285.0
253,2281.0,166.0
254,2339.0,167.0
255,2363.0,170.0
256,2408.0,173.0
257,2415.0,176.0
258,2416.0,817.0
259,2422.0,177.0
260,2426.0,178.0
261,2575.0,183.0
262,2603.0,185.0
263,2653.0,190.0
264,2710.0,192.0
265,2860.0,203.0
266,2986.0,208.0
267,2987.0,209.0
268,3054.0,212.0
269,3058.0,542.0
270,3131.0,216.0
271,3143.0,217.0
272,3414.0,230.0
273,3422.0,231.0
274,3423.0,232.0
275,3464.0,236.0
276,3487.0,240.0
277,3517.0,243.0
278,3581.0,821.0
279,3696.0,256.0
280,3706.0,257.0
281,3712.0,258.0
282,3737.0,263.0
283,3754.0,265.0
284,3772.0,268.0
285,3773.0,269.0
286,3784.0,270.0
287,3807.0,272.0
288,3809.0,273.0
289,3822.0,281.0
290,3837.0,274.0
291,3845.0,275.0
292,3858.0,276.0
293,3880.0,278.0
294,3960.0,284.0
295,3990.0,288.0
296,4008.0,289.0
297,4027.0,292.0
298,4032.0,293.0
299,4051.0,296.0
300,7566.0,311.0
301,4171.0,306.0
302,4178.0,308.0
303,4189.0,309.0
304,4196.0,310.0
305,4267.0,313.0
306,4270.0,337.0
307,4283.0,316.0
308,4338.0,329.0
309,4389.0,327.0
310,4424.0,332.0
311,4434.0,334.0
312,4437.0,335.0
313,4491.0,343.0
314,4512.0,345.0
315,4643.0,914.0
316,4736.0,362.0
317,4745.0,363.0
318,4751.0,365.0
319,4752.0,364.0
320,4863.0,377.0
321,5053.0,370.0
322,5208.0,429.0
323,5227.0,432.0
324,5384.0,438.0
325,5385.0,437.0
326,5424.0,440.0
327,5513.0,815.0
328,5554.0,1211.0
329,5585.0,468.0
330,5673.0,478.0
331,5683.0,481.0
332,5760.0,483.0
333,5896.0,532.0
334,5985.0,495.0
335,5986.0,494.0
336,6096.0,503.0
337,6208.0,509.0
338,6424.0,524.0
339,6485.0,527.0
340,6618.0,541.0
341,6801.0,545.0
342,6828.0,546.0
343,6856.0,1316.0
344,6866.0,549.0
345,6870.0,550.0
346,7099.0,559.0
347,7100.0,560.0
348,7103.0,799.0
349,7204.0,564.0
350,7245.0,572.0
351,7247.0,573.0
352,7259.0,577.0
353,7264.0,578.0
354,7290.0,579.0
355,7546.0,592.0
356,7552.0,588.0
357,7565.0,1318.0
358,7700.0,594.0
359,7971.0,608.0
360,7973.0,609.0
361,7977.0,611.0
362,7996.0,406.0
363,8230.0,625.0
364,8242.0,648.0
365,8560.0,637.0
366,8613.0,642.0
367,9111.0,684.0
368,9214.0,689.0
369,9546.0,711.0
370,9566.0,712.0
371,10310.0,766.0
372,10318.0,641.0
373,10451.0,772.0
374,10494.0,773.0
375,10495.0,774.0
376,10543.0,779.0
377,10560.0,780.0
378,10588.0,782.0
379,10591.0,784.0
380,10646.0,787.0
381,10671.0,790.0
382,10684.0,794.0
383,10740.0,804.0
384,10754.0,807.0
385,10852.0,823.0
386,10876.0,872.0
387,10908.0,827.0
388,10948.0,829.0
389,11213.0,851.0
390,11227.0,853.0
391,11228.0,854.0
392,11229.0,855.0
393,11288.0,863.0
394,11334.0,865.0
395,11341.0,866.0
396,11351.0,245.0
397,11377.0,869.0
398,11420.0,353.0
399,11578.0,882.0
400,11611.0,816.0
401,11632.0,189.0
402,11637.0,885.0
403,11707.0,891.0
404,11764.0,894.0
405,11765.0,896.0
406,11772.0,897.0
407,11775.0,899.0
408,11776.0,900.0
409,11885.0,911.0
410,11977.0,917.0
411,11987.0,919.0
412,12086.0,982.0
413,12124.0,984.0
414,12530.0,951.0
415,12579.0,957.0
416,12593.0,959.0
417,12653.0,963.0
418,12665.0,964.0
419,12668.0,965.0
420,12786.0,971.0
421,12809.0,972.0
422,12931.0,977.0
423,12961.0,979.0
424,13123.0,993.0
425,13247.0,1017.0
426,13265.0,996.0
427,13308.0,999.0
428,13359.0,1004.0
429,13659.0,1019.0
430,13821.0,1023.0
431,13859.0,1027.0
432,13867.0,1028.0
433,13885.0,1030.0
434,13894.0,1361.0
435,13909.0,1034.0
436,14044.0,1042.0
437,14074.0,1043.0
438,14202.0,1050.0
439,14350.0,1059.0
440,14447.0,1063.0
441,14526.0,1072.0
442,14544.0,921.0
443,14619.0,1079.0
444,14628.0,1080.0
445,14682.0,1084.0
446,14787.0,1096.0
447,14789.0,1097.0
